10000	3	5
8561	4	
8244	3	
737	3	
8198	2	
8963	5	
3868	4	
5076	4	
4329	4	
7326	5	
459	1	
3626	5	
7042	4	
1087	3	
480	3	
7803	5	
964	2	
6264	3	
1108	5	
2933	5	
4787	2	
6318	5	
6839	4	
5197	1	
7755	4	
7796	3	
4456	1	
7374	4	
8023	3	
6216	5	
772	3	
579	1	
504	2	
1598	2	
5781	5	
7654	5	
1276	5	
3045	2	
5223	2	
1266	5	
8361	5	
5045	4	
6835	4	
2612	3	
1640	1	
3342	4	
2020	2	
4231	4	
6956	4	
8466	2	
842	1	
7556	2	
4214	3	
5579	5	
1777	4	
1175	1	
506	5	
680	5	
4068	2	
9631	4	
3169	2	
9543	5	
3326	3	
6981	2	
9602	4	
148	5	
3433	2	
1747	2	
3863	5	
175	4	
3944	5	
1322	1	
4063	4	
5883	3	
7603	2	
2137	4	
855	1	
7598	2	
9700	4	
9385	1	
2487	3	
742	2	
5909	4	
4928	2	
5122	5	
5249	4	
1056	3	
4871	3	
1132	3	
605	3	
3039	2	
2098	5	
8967	1	
3464	5	
4304	5	
4437	2	
4113	5	
4818	4	
3613	4	
3419	2	
3663	1	
7939	1	
9877	2	
7921	1	
1046	2	
8903	1	
1493	2	
1547	5	
524	3	
3676	1	
390	1	
5052	1	
7044	3	
8140	4	
3335	4	
5485	4	
7086	4	
460	3	
7322	2	
5364	4	
8387	2	
8559	3	
9398	1	
6645	5	
4448	1	
8306	3	
4745	3	
1211	3	
9609	5	
5065	3	
8769	2	
8680	2	
6498	5	
1355	1	
4384	3	
1841	2	
8147	4	
3162	5	
782	2	
7883	5	
7761	5	
6966	5	
9173	4	
6650	3	
7165	4	
8617	4	
8712	1	
2872	4	
1212	2	
2555	3	
4205	4	
9644	2	
9703	3	
8490	4	
4953	3	
3962	2	
6287	4	
5856	4	
1913	1	
1535	3	
4211	1	
6416	3	
3311	2	
7727	1	
5777	1	
6285	2	
2355	5	
7876	4	
2076	5	
947	1	
9380	2	
9802	4	
8548	1	
8638	3	
3877	2	
5890	5	
9827	4	
1725	4	
507	2	
6962	1	
7906	4	
9249	1	
9699	2	
9602	3	
4680	5	
3215	1	
6033	5	
2217	5	
1582	2	
8864	2	
